movie,year
"(500) Days of Summer",2009
"[REC]",2007
"10 Cloverfield Lane",2016
"10 Things I Hate About You",1999
"101 Dalmatians",1996
"12 Angry Men",1957
"12 Years a Slave",2013
"127 Hours",2010
"12th Fail",2023
"1408",2007
"1917",2019
"1920",2008
"1942: A Love Story",1994
"2 States",2014
"2001: A Space Odyssey",1968
"2012",2009
"21 Jump Street",2012
"25th Hour",2002
"28 Days Later",2002
"28 Weeks Later",2007
"28 Years Later",2025
"3 Idiots",2009
"300",2006
"36 China Town",2006
"4 Months, 3 Weeks and 2 Days",2007
"48 Hrs.",1982
"50/50",2011
"8 Mile",2002
"8:46",2020
"83",2021
"A Beautiful Mind",2001
"A Bittersweet Life",2005
"A Boy Named Charlie Brown",1969
"A Bug's Life",1998
"A Charlie Brown Christmas",1965
"A Clockwork Orange",1971
"A Close Shave",1995
"A Complete Unknown",2024
"A Death in the Gunj",2016
"A Different Man",2024
"A Few Good Men",1992
"A Fistful of Dollars",1964
"A Gentleman",2017
"A Grand Day Out",1989
"A Hero",2021
"A History of Violence",2005
"A Nightmare on Elm Street",1984
"A Quiet Place",2018
"A Quiet Place Part II",2020
"A Real Pain",2024
"A Room with a View",1986
"A Separation",2011
"A Serbian Film",2010
"A Silent Voice: The Movie",2016
"A Star Is Born",2018
"A Tale of Two Sisters",2003
"A Time to Kill",1996
"A Trip to the Moon",1902
"A Wednesday!",2008
"Aa ab Laut Chalen",1999
"Aaja Nachle",2007
"Aakhree Raasta",1986
"Aalavandhan",2001
"Aamdani Atthanni Kharcha Rupaiya",2001
"Aamir",2008
"Aan: Men at Work",2004
"Aankhen",1993
"Aankhen",2002
"Aap Ki Kasam",1974
"Aarakshan",2011
"Aarya 2",2009
"Aashiqui",1990
"Aashiqui 2",2013
"Aavesham",2024
"Aavishkar",1974
"Ab Tumhare Hawale Watan Saathiyo",2004
"ABCD",2013
"ABCD 2",2015
"Abhimaan",1973
"About Elly",2009
"About Time",2013
"Ace in the Hole",1951
"Action Replayy",2010
"Ad Astra",2019
"Adaptation.",2002
"Adolescence",2025
"Adventures of Ali-Baba and the Forty Thieves",1979
"Ae Dil Hai Mushkil",2016
"After Hours",1985
"Aghaat",1985
"Agneepath",1990
"Agneepath",2012
"Agra",2023
"Air",2023
"Airlift",2016
"Airplane!",1980
"Aitraaz",2004
"Ajab Prem Ki Ghazab Kahani",2009
"Ajnabee",2001
"Ajooba",1991
"AK vs AK",2020
"Akhiyon Se Goli Maare",2002
"Akira",1988
"Aladdin",1992
"Aladin",2009
"Alien",1979
"Aliens",1986
"All About Eve",1950
"All India Rank",2023
"All of Us Strangers",2023
"All the Beauty and the Bloodshed",2022
"All the Best: Fun Begins",2009
"All the President's Men",1976
"Almost Famous",2000
"Alone in the Wilderness",2004
"Altered States",1980
"Amadeus",1984
"Amar Akbar Anthony",1977
"Amar Prem",1972
"Amélie",2001
"American Beauty",1999
"American Fiction",2023
"American Graffiti",1973
"American History X",1998
"American Hustle",2013
"American Movie",1999
"American Pie",1999
"American Psycho",2000
"American Sniper",2014
"Amores Perros",2000
"An American Werewolf in London",1981
"An Unmarried Woman",1978
"Anaconda",1997
"Anacondas: The Hunt for the Blood Orchid",2004
"Anand",1971
"Anari",1993
"Anatomy of a Fall",2023
"Anatomy of a Murder",1959
"Anbe Sivam",2003
"Anchorman: The Legend of Ron Burgundy",2004
"Andaz Apna Apna",1994
"Andhaa Kaanoon",1983
"Andhadhun",2018
"Angel Heart",1987
"Angoor",1982
"Angry Young Men",2024
"Angst",1983
"Anima",2019
"Animal",2023
"Animal Kingdom",2010
"Anji",2004
"Ankhon Dekhi",2013
"Ankush",1986
"Annie Hall",1977
"Annihilation",2018
"Anniyan",2005
"Anomalisa",2015
"Anora",2024
"Another Round",2020
"Antichrist",2009
"Ant-Man",2015
"Ant-Man and the Wasp",2018
"Aparajito",1956
"Apne",2007
"Apocalypse Now",1979
"Apocalypto",2006
"Apollo 13",1995
"Apur Sansar",1959
"Aquaman",2018
"Aradhana",1969
"Are You There God? It's Me, Margaret.",2023
"Argo",2012
"Arjun Reddy",2017
"Arlington Road",1999
"Army of Darkness",1992
"Arrival",2016
"Article 15",2019
"As Good as It Gets",1997
"Assault on Precinct 13",1976
"Atithi Tum Kab Jaoge?",2010
"Atomic Blonde",2017
"Atonement",2007
"Attack the Block",2011
"Audition",1999
"Aunty No. 1",1998
"Avatar",2009
"Avatar: The Way of Water",2022
"Avengers: Age of Ultron",2015
"Avengers: Endgame",2019
"Avengers: Infinity War",2018
"Avtaar",1983
"Awaargi",1990
"Awakenings",1990
"Awara Paagal Deewana",2002
"Awarapan",2007
"Baadshah",1999
"Baaghi",2016
"Baazigar",1993
"Baby",2015
"Baby Driver",2017
"Baby's Day Out",1994
"Bachna Ae Haseeno",2008
"Back to the Future",1985
"Bacurau",2019
"Bad Lieutenant",1992
"Bad Santa",2003
"Bad Trip",2021
"Badal",2000
"Bade Miyan Chote Miyan",1998
"Bade Miyan Chote Miyan",2024
"Badhaai Ho",2018
"Badhaai Ho Badhaai",2002
"Badlands",1973
"Badlapur",2015
"Badmaash Company",2010
"Badrinath Ki Dulhania",2017
"Baghban",2003
"Bāhubali 2: The Conclusion",2017
"Bāhubali: The Beginning",2015
"Bajirao Mastani",2015
"Bajrangi Bhaijaan",2015
"Bala",2019
"Ballerina",2025
"Band Baaja Baaraat",2010
"Band of Brothers",2001
"Bandhan",1998
"Bandit Queen",1994
"Baraka",1992
"Barbarian",2022
"Barbie",2023
"Bareilly Ki Barfi",2017
"Barfi!",2012
"Barry Lyndon",1975
"Basic Instinct",1992
"Batman",1989
"Batman Begins",2005
"Batman Beyond: Return of the Joker",2000
