"movie","year","rating","rewatch","score","date_watched","previous_score","notes","review_link"
"Bhavesh Joshi Superhero","2018","2","","34","2026-04-24","","",""
"Red Rock West","1993","3.5","","67","2026-04-19","","",""
"The Great Train Robbery","1903","","","","2026-04-19","","",""
"Forbidden Planet","1956","2","","40","2026-04-17","","",""
"Event Horizon","1997","2.5","","44","2026-04-16","","",""
"Quatermass and the Pit","1967","3","","55","2026-04-15","","",""
"The White Tiger","2021","2.5","","49","2026-04-10","","",""
"Tu Yaa Main","2026","2","","34","2026-04-10","","",""
"Project Hail Mary","2026","1.5","","26","2026-04-08","","","https://boxd.it/dUJyFF"
"Samay Raina: Still Alive","2026","","","","2026-04-07","","",""
"PK","2014","2","yes","39","2026-04-04","","",""
"Rock On!!","2008","2.5","","45","2026-04-01","","",""
"Company","2002","3","","52","2026-03-31","","",""
"Jolly LLB 3","2025","1","","19","2026-03-30","","","https://boxd.it/dKyrlV"
"D-Day","2013","2.5","","44","2026-03-30","","",""
"No Problem","2010","1.5","yes","25","2026-03-27","","","https://boxd.it/dHCSJB"
"The Kashmir Files","2022","1","","17","2026-03-19","","",""
"Dhurandhar The Revenge","2026","2.5","","49","2026-03-18","","",""
"Awarapan","2007","1.5","","28","2026-03-14","","",""
"Get Out","2017","3.5","yes","63","2026-03-13","63","",""
"Gangster","2006","1.5","","30","2026-03-12","","",""
"Gangubai Kathiawadi","2022","2","","31","2026-03-10","","","https://boxd.it/dtf7ZP"
"Easy A","2010","2.5","","50","2026-03-08","","",""
"Jaan-E-Mann","2006","2","yes","40","2026-02-27","","","https://boxd.it/dk1wZh"
"The Birdcage","1996","4","yes","72","2026-02-22","72","",""
"21 Jump Street","2012","2.5","yes","49","2026-02-22","49","",""
"Shelby Oaks","2024","1","","14","2026-02-20","","",""
"Dhurandhar","2025","3","yes","53","2026-02-17","43","",""
"Sulemani Keeda","2014","2.5","","44","2026-02-16","","",""
"Don’t Look Up","2021","2","","35","2026-02-14","","",""
"Marty","1955","3","","60","2026-02-08","","",""
"Sentimental Value","2025","3","","52","2026-02-03","","",""
"Home Alone","1990","2.5","yes","48","2026-01-31","","",""
"Marty Supreme","2025","4.5","","82","2026-01-30","","",""
"The Lincoln Lawyer","2011","2","","36","2026-01-29","","",""
"No Other Choice","2025","3.5","","62","2026-01-21","","",""
"The Town","2010","3","","53","2026-01-20","","",""
"Vampire Hunter D: Bloodlust","2000","4","yes","72","2026-01-17","67","","https://boxd.it/cGflBh"
"Todd McFarlane’s Spawn","1997","","","","2026-01-16","","",""
"Nightwatch","1994","2.5","","48","2026-01-15","","",""
"It Was Just an Accident","2025","3","","59","2026-01-12","","","https://boxd.it/cDgqIn"
"Caught Stealing","2025","3","","52","2026-01-11","","",""
"The Fantastic 4: First Steps","2025","2","","39","2026-01-11","","",""
"If I Had Legs I’d Kick You","2025","3","","58","2026-01-10","","",""
"Wake Up Dead Man","2025","3.5","","61","2026-01-09","","","https://boxd.it/cxtU4z"
"The Great Escape","1963","3","","58","2026-01-07","","",""
"Strangers on a Train","1951","3","yes","56","2026-01-06","56","",""
"Frenzy","1972","3","","57","2026-01-02","","",""
"Stranger Things 5: The Finale","2025","","","","2026-01-01","","","https://boxd.it/cnyD8z"
"Gaman","1978","2.5","","41","2025-12-18","","",""
"Bugonia","2025","2.5","","45","2025-12-16","","",""
"Nadiya Ke Paar","1982","2.5","yes","50","2025-12-09","","",""
"Dhurandhar","2025","2.5","","43","2025-12-07","","",""
"Hard Eight","1996","3","","56","2025-11-20","","",""
"One Battle After Another","2025","3","","60","2025-11-18","","",""
"Airplane!","1980","2","","38","2025-11-13","","",""
"Arrival","2016","3.5","yes","69","2025-11-05","69","",""
"Oye Lucky! Lucky Oye!","2008","2.5","","42","2025-10-28","","",""
"Manorama Six Feet Under","2007","2.5","","49","2025-10-13","","",""
"The Black Phone","2021","2","","40","2025-10-06","","",""
"The Day the Earth Stood Still","1951","3","","55","2025-10-05","","",""
"Karthik Calling Karthik","2010","2.5","","47","2025-10-02","","",""
"Death Becomes Her","1992","2.5","","41","2025-09-28","","",""
"Inherit the Wind","1960","3","","54","2025-09-25","","",""
"Bring Her Back","2025","2.5","","47","2025-09-24","","",""
"The Ba***ds of Bollywood","2025","1","","","2025-09-23","","",""
"Frances Ha","2012","4","yes","72","2025-09-16","70","",""
"Disturbia","2007","2.5","","41","2025-09-16","","",""
"Bhoot","2003","1.5","yes","25","2025-09-13","","",""
"Weapons","2025","3","","58","2025-09-11","","",""
"My Wife’s Murder","2005","2","","32","2025-09-09","","",""
"Merry Christmas","2024","2.5","","49","2025-09-06","","",""
"Johnny Gaddaar","2007","3","","55","2025-09-05","","",""
"Ek Hasina Thi","2004","3","","51","2025-09-04","","",""
"Madgaon Express","2024","2","","37","2025-09-01","","",""
"The Kid Detective","2020","3","","55","2025-08-31","","",""
"Khoj","1989","","","","2025-08-05","","",""
"Vir Das: Fool Volume","2025","","","","2025-07-25","","",""
"Superman","2025","3","","53","2025-07-16","","",""
"28 Weeks Later","2007","2.5","","43","2025-07-06","","",""
"28 Years Later","2025","2","","40","2025-07-06","","",""
"28 Days Later","2002","3","yes","51","2025-07-05","56","",""
"F1","2025","3","","52","2025-07-01","","",""
"Umrao Jaan","1981","3.5","","64","2025-06-27","","",""
"Materialists","2025","2.5","","46","2025-06-20","","",""
"Ballerina","2025","2.5","","42","2025-06-15","","",""
"Bhool Chuk Maaf","2025","1.5","","24","2025-05-24","","",""
"Mission: Impossible - The Final Reckoning","2025","2.5","","50","2025-05-24","","",""
"Food","1992","","","","2025-05-23","","",""
"Black Bag","2025","3","","57","2025-05-23","","",""
"Avengers: Infinity War","2018","3.5","yes","64","2025-05-21","64","",""
"Avengers: Endgame","2019","3","yes","58","2025-05-21","61","",""
"Black Mirror: Bête Noire","2025","","","","2025-05-18","","",""
"The God Man","2025","","","","2025-05-12","","",""
"Thunderbolts*","2025","2.5","","42","2025-05-12","","",""
"Ronin","1998","3.5","","63","2025-05-07","","",""
"Shaurya","2008","1.5","","29","2025-05-04","","",""
"Dostana","2008","1.5","","27","2025-05-03","","",""
"Superboys of Malegaon","2024","2.5","","48","2025-05-03","","",""
"Loveyapa","2025","","","","2025-05-02","","",""
"Laal Singh Chaddha","2022","1.5","","23","2025-05-01","","",""
"Forrest Gump","1994","3.5","yes","68","2025-04-29","68","",""
"Kicking and Screaming","1995","3","","57","2025-04-26","","",""
"The People vs. Larry Flynt","1996","2","","35","2025-04-20","","",""
